tipo_equipo,tipo_orden,unidad_trabajo,mes,trabajo_real,trabajo
"TEQ-49","CO4","H","2015-11","700.60","715.12"
"TEQ-49","CO3","H","2015-10","2124.04","2245.24"
"TEQ-49","CO10","H","2015-10","2878.12","2987.68"
"TEQ-49","CO3","H","2016-05","1084.28","1407.24"
"","CO3","H","2016-09","3723.96","4151.24"
"TEQ-49","CO3","H","2016-09","991.32","1017.60"
"TEQ-51","CO10","H","2016-04","507.56","586.80"
"","CO3","H","2016-08","5304.80","5977.52"
"","CO3","H","2016-06","3503.72","3749.36"
"","CO10","H","2016-06","2549.04","2756.48"
"TEQ-77","CO3","H","2016-09","630.44","783.20"
"","CO3","H","2016-07","3310.68","3527.08"
"","CO10","H","2016-08","3414.52","4346.56"
"TEQ-22","CO10","H","2016-07","255.40","287.40"
"TEQ-2","CO3","H","2016-07","21.00","23.80"
"TEQ-47","CO3","H","2016-07","601.92","645.20"
"","CO3","H","2016-12","4307.28","5017.48"
"TEQ-12","CO3","H","2016-05","449.64","498.92"
"TEQ-73","CO3","H","2017-02","902.08","901.56"
"TEQ-73","CO4","H","2017-01","695.00","733.64"
"TEQ-72","CO4","H","2017-01","613.72","653.56"
"TEQ-49","CO4","H","2017-01","1128.44","1196.04"
"","CO3","H","2017-01","3813.80","4794.56"
"TEQ-48","CO2","H","2017-01","93.48","99.00"
"TEQ-49","CO3","H","2016-01","1191.40","1258.28"
"TEQ-49","CO10","H","2016-01","1221.24","1227.60"
"TEQ-49","CO4","H","2017-02","831.28","840.80"
"TEQ-73","CO3","H","2017-01","1279.36","1345.60"
"TEQ-48","CO3","H","2017-01","740.36","928.60"
"","CO10","H","2017-01","2099.12","2566.36"
"TEQ-49","CO3","H","2015-12","573.84","1092.44"
"TEQ-13","CO4","H","2016-09","214.96","238.48"
"","CO5","H","2017-01","683.92","758.44"
"TEQ-49","CO4","H","2016-01","1157.72","1187.80"
"TEQ-45","CO5","H","2016-09","89.08","88.72"
"TEQ-49","CO3","H","2017-01","1198.16","1531.12"
"TEQ-49","CO3","H","2019-05","3359.56","3782.80"
"TEQ-49","CO3","H","2016-10","893.48","1011.28"
"TEQ-51","CO10","H","2017-03","654.16","667.00"
"","CO3","H","2017-03","3665.28","3977.12"
"TEQ-68","CO4","H","2017-01","499.60","524.88"
"TEQ-48","CO4","H","2017-01","1184.28","1271.24"
"","CO4","H","2017-01","1785.60","1876.48"
"","CO4","H","2017-02","2175.40","2213.04"
"TEQ-51","CO3","H","2017-01","664.56","740.28"
"TEQ-24","CO3","H","2017-01","925.08","1032.48"
"TEQ-29","CO3","H","2017-03","3365.32","3779.20"
"TEQ-66","CO5","H","2017-02","85.24","93.56"
"TEQ-51","CO3","H","2018-06","2169.56","2265.80"
"TEQ-77","CO3","H","2017-04","484.24","681.16"
"","CO10","H","2017-03","1738.04","1990.40"
"TEQ-48","CO4","H","2017-03","1019.72","1040.24"
"","CO3","H","2017-04","3922.84","4278.20"
"","CO10","H","2017-10","1874.52","1948.08"
"TEQ-51","CO3","H","2017-07","587.44","663.52"
"TEQ-46","CO2","H","2017-04","72.92","79.64"
"TEQ-72","CO4","H","2017-03","540.84","555.88"
"TEQ-73","CO4","H","2017-02","600.72","628.24"
"TEQ-49","CO2","H","2017-02","19.80","19.80"
"","CO3","H","2017-02","3687.68","4359.16"
"TEQ-48","CO4","H","2017-02","973.08","1022.00"
"TEQ-68","CO4","H","2017-02","642.16","667.04"
"TEQ-72","CO4","H","2017-02","363.80","399.44"
"TEQ-48","CO2","H","2017-02","59.40","59.40"
"","CO10","H","2017-02","1699.72","2104.84"
"TEQ-51","CO3","H","2017-02","846.20","931.16"
"","CO2","H","2017-02","40.40","44.76"
"TEQ-48","CO3","H","2017-02","548.32","596.20"
"","CO5","H","2017-02","647.48","870.24"
"TEQ-51","CO10","H","2017-02","614.04","651.84"
"TEQ-46","CO3","H","2017-06","329.96","549.72"
"TEQ-29","CO3","H","2017-07","2096.04","2556.96"
"TEQ-20","CO10","H","2017-06","51.48","51.48"
"TEQ-20","CO3","H","2017-06","65.60","75.24"
"TEQ-6","CO10","H","2017-06","149.72","242.96"
"TEQ-6","CO3","H","2017-06","499.04","535.72"
"TEQ-37","CO3","H","2017-09","3600.08","3821.16"
"TEQ-29","CO4","H","2017-07","1567.84","1725.16"
"TEQ-66","CO3","H","2017-02","721.00","799.44"
"TEQ-73","CO2","H","2017-02","15.84","15.84"
"TEQ-29","CO10","H","2017-06","1640.24","1847.48"
"TEQ-49","CO3","H","2017-08","805.80","865.80"
"TEQ-51","CO10","H","2017-06","460.92","499.64"
"TEQ-49","CO3","H","2017-05","1614.48","1681.76"
"","CO3","H","2017-12","4776.88","5178.72"
"TEQ-48","CO10","H","2017-07","130.52","136.48"
"TEQ-48","CO10","H","2017-05","317.52","327.40"
"TEQ-49","CO3","H","2017-07","1023.84","1102.48"
"TEQ-17","CO3","H","2017-08","3071.00","3160.76"
"","CO7","H","2014-08","51.48","65.00"
"TEQ-49","CO3","H","2014-03","474.88","527.64"
"TEQ-49","CO3","H","2014-04","550.08","608.68"
"TEQ-22","CO3","H","2014-07","651.68","682.24"
"","CO9","H","2014-09","230.88","233.64"
"TEQ-24","CO3","H","2015-12","1079.72","1194.24"
"TEQ-46","CO3","H","2015-09","1222.88","1298.72"
"TEQ-47","CO3","H","2015-02","642.84","780.36"
"TEQ-50","CO4","H","2014-06","311.00","341.84"
"TEQ-49","CO3","H","2019-01","240.16","269.80"
"TEQ-49","CO3","H","2014-10","542.00","554.20"
"TEQ-49","CO3","H","2015-07","877.72","943.68"
"TEQ-49","CO3","H","2014-09","466.24","490.84"
"TEQ-45","CO3","H","2014-08","656.56","745.88"
"TEQ-18","CO3","H","2014-08","1552.04","1655.92"
"TEQ-49","CO3","H","2014-12","623.24","628.44"
"TEQ-49","CO10","H","2014-12","152.28","149.96"
"TEQ-49","CO3","H","2015-01","1920.92","2475.20"
"TEQ-49","CO3","H","2015-11","549.44","588.84"
"TEQ-49","CO10","H","2015-11","578.72","581.32"
"TEQ-37","CO3","H","2015-12","3447.72","3726.76"
"TEQ-77","CO3","H","2015-12","712.76","776.32"
"TEQ-77","CO10","H","2015-12","514.96","553.88"
"TEQ-22","CO3","H","2015-12","602.20","696.60"
"TEQ-47","CO3","H","2015-12","1181.28","1294.68"
"TEQ-49","CO10","H","2015-12","681.00","685.32"
"TEQ-49","CO3","H","2015-02","536.64","862.12"
"TEQ-47","CO10","H","2015-12","646.12","651.32"
"TEQ-51","CO10","H","2015-12","971.92","1100.60"
"TEQ-78","CO4","H","2016-05","39.60","37.64"
"TEQ-49","CO3","H","2015-05","115.48","120.60"
"TEQ-49","CO3","H","2015-04","418.92","428.16"
"TEQ-49","CO3","H","2015-08","467.44","521.84"
"TEQ-49","CO3","H","2015-09","193.96","242.52"
"TEQ-7","CO10","H","2018-10","584.48","732.28"
"TEQ-49","CO10","H","2019-05","1187.84","1222.52"
"TEQ-49","CO3","H","2018-05","1003.48","1090.28"
"TEQ-19","CO4","H","2014-07","798.00","878.24"
"TEQ-12","CO10","H","2015-06","78.64","88.20"
"TEQ-51","CO10","H","2015-04","391.32","488.80"
"","CO10","H","2018-02","1880.32","2096.56"
"TEQ-49","CO3","H","2018-04","1089.60","1121.72"
"TEQ-49","CO5","H","2018-04","123.12","120.04"
"TEQ-73","CO3","H","2018-04","1002.76","1033.08"
"TEQ-6","CO2","H","2018-04","373.40","380.16"
"TEQ-44","CO2","H","2018-05","255.52","255.12"
"TEQ-37","CO3","H","2018-10","3015.04","3411.36"
"","CO3","H","2016-01","4845.56","5622.36"
"TEQ-47","CO2","H","2015-01","119.24","119.24"
"TEQ-73","CO4","H","2019-12","3.96","3.96"
"","CO4","H","2019-12","0.00","0.00"
"TEQ-11","CO4","H","2019-12","0.00","0.00"
"TEQ-18","CO3","H","2019-11","81.20","83.16"
"TEQ-43","CO2","H","2019-11","27.72","27.72"
"TEQ-45","CO2","H","2019-11","3.96","3.96"
"TEQ-18","CO4","H","2019-11","63.36","63.36"
"TEQ-18","CO2","H","2019-11","19.80","19.80"
"TEQ-28","CO2","H","2019-11","65.40","69.32"
"TEQ-64","CO4","H","2019-11","7.92","15.84"
"TEQ-10","CO4","H","2019-11","3.96","3.96"
"TEQ-35","CO2","H","2019-11","15.84","15.84"
"TEQ-42","CO2","H","2019-11","19.80","19.80"
"TEQ-45","CO3","H","2019-11","3.96","3.96"
"TEQ-45","CO10","H","2019-11","5.96","7.92"
"TEQ-79","CO4","H","2019-11","3.96","3.96"
"TEQ-45","CO4","H","2019-11","11.88","11.88"
"","CO4","H","2019-11","7.96","19.80"
"TEQ-50","CO2","H","2019-11","11.88","11.88"
"TEQ-74","CO3","H","2019-11","35.64","34.20"
"TEQ-71","CO4","H","2019-11","7.92","7.92"
"TEQ-63","CO10","H","2019-11","7.96","7.96"
"TEQ-74","CO10","H","2019-11","11.88","11.88"
"TEQ-54","CO4","H","2019-11","3.96","3.96"
"TEQ-43","CO9","H","2019-11","23.76","23.76"
"TEQ-11","CO4","H","2019-11","4.00","15.84"
"TEQ-3","CO3","H","2019-11","5.56","9.92"
"TEQ-74","CO5","H","2019-11","3.96","3.96"
"TEQ-28","CO4","H","2019-11","11.88","11.88"
"TEQ-64","CO3","H","2019-11","3.96","3.96"
"TEQ-13","CO4","H","2019-11","3.96","3.96"
"TEQ-45","CO4","H","2019-10","15.84","15.84"
"TEQ-54","CO4","H","2019-10","51.48","59.40"
"TEQ-47","CO4","H","2019-10","11.88","11.88"
"TEQ-28","CO2","H","2019-10","3.96","3.96"
"TEQ-10","CO2","H","2019-10","43.56","47.52"
"TEQ-6","CO4","H","2019-10","3.96","3.96"
"TEQ-51","CO4","H","2019-10","7.92","7.92"
"TEQ-7","CO4","H","2019-10","3.96","3.96"
"TEQ-22","CO4","H","2019-10","5.96","7.92"
"TEQ-29","CO4","H","2019-10","23.80","35.64"
"TEQ-26","CO4","H","2019-10","3.96","3.96"
"TEQ-37","CO4","H","2019-10","7.92","7.92"
"TEQ-29","CO2","H","2019-10","27.72","27.72"
"TEQ-74","CO4","H","2019-10","3.96","3.96"
"TEQ-31","CO4","H","2019-10","0.00","7.92"
"TEQ-24","CO3","H","2019-10","0.00","35.64"
"TEQ-68","CO3","H","2019-10","0.00","0.00"
"TEQ-44","CO4","H","2019-10","25.00","39.60"
"TEQ-25","CO2","H","2019-10","7.92","7.92"
"TEQ-46","CO4","H","2019-10","13.88","23.76"
"TEQ-72","CO4","H","2019-10","3.96","3.96"
"TEQ-47","CO2","H","2019-10","3.96","3.96"
"TEQ-6","CO2","H","2019-10","6.36","15.84"
"TEQ-37","CO2","H","2019-10","19.84","23.76"
"TEQ-46","CO3","H","2019-10","3.96","3.96"
"TEQ-17","CO3","H","2019-10","2.00","2.00"
"TEQ-31","CO2","H","2019-10","3.96","3.96"
"TEQ-66","CO3","H","2019-10","0.00","0.00"
"TEQ-19","CO4","H","2019-10","0.00","0.00"
"TEQ-68","CO4","H","2019-09","43.56","43.56"
"TEQ-51","CO4","H","2019-09","16.84","19.80"
"TEQ-37","CO4","H","2019-09","109.92","118.80"
"","CO10","H","2019-09","7.92","7.92"
"","CO4","H","2019-09","21.80","22.20"
"TEQ-77","CO4","H","2019-09","20.60","32.48"
"TEQ-22","CO4","H","2019-09","93.88","97.84"
"TEQ-19","CO4","H","2019-09","148.92","210.68"
"TEQ-47","CO4","H","2019-09","57.44","57.44"
"TEQ-44","CO4","H","2019-09","48.40","67.32"
"TEQ-37","CO2","H","2019-09","27.72","27.72"
"TEQ-37","CO5","H","2019-09","19.80","19.80"
"TEQ-7","CO3","H","2019-09","764.48","792.56"
"TEQ-44","CO2","H","2019-09","3.96","3.96"
"TEQ-50","CO4","H","2019-09","3.96","7.92"
"TEQ-44","CO3","H","2019-09","9.92","9.92"
"TEQ-19","CO2","H","2019-09","19.80","27.72"
"TEQ-18","CO3","H","2019-09","11.88","15.08"
"TEQ-37","CO10","H","2019-09","160.04","159.24"
"TEQ-74","CO2","H","2019-09","39.60","39.60"
"TEQ-43","CO2","H","2019-09","35.64","35.64"
"TEQ-18","CO2","H","2019-09","35.64","35.64"
"TEQ-3","CO4","H","2019-09","9.92","11.88"
"TEQ-28","CO4","H","2019-09","59.40","65.36"
"TEQ-42","CO4","H","2019-09","7.92","7.92"
"TEQ-18","CO4","H","2019-09","43.56","55.84"
